,title,rating,cook_time,calories,sodium,fat,protein,carbs,fiber,personal_rating,ingredients,links
0,Quinoa Tabbouleh,4.5,60,310.0,610.0,16.0,8.0,37.0,6.0,"[['Naomi', 5], ['Ish', 5], ['Lily', 5], ['Tiffany morgan', 4], ['Francois de Galard', 3], ['Melike Harfouche', 4], ['Sarah Beth', 5], ['Chelsea Lee', 5], ['gdineee', 5], ['Janel Marie M.', 5], ['Nona', 5], ['Nona', 5], ['Tam', 5], ['Reema Wali', 5], ['Tanya', 5], ['Amy B.', 4], ['Adrian', 5], ['Krissy Waite', 4], ['Danya Cordoba', 5], ['Lois S.', 5], ['Tam Iam', 5], ['Stevie Smith', 5]]","[['1', 'cup', 'quinoa'], ['1', None, 'lemon'], ['4', 'cloves', 'garlic'], ['1/4', 'cup', 'olive oil'], ['1', 'teaspoon', 'salt'], ['1', None, 'large tomato'], ['1', None, 'cucumber'], ['1', 'bunch', 'curly leaf parsley']]",https://www.yummly.com/recipe/Quinoa-Tabbouleh-2445397
1,Thai Salmon,4.0,21,80.0,370.0,3.5,6.0,5.0,1.0,"[['Sarah R.', 5], ['Sofia Campbell', 3], ['Aaron Henderson', 3], ['tjdiy519', 5], ['Judy Coleman', 5], ['Hey', 5], ['Theresa Singleton', 5], ['Bryana Foster', 5], ['Brian B', 4], ['Laura DeSoo', 5], ['Gemal B.', 4], ['Chiraporn Sae Yue', 5], ['Yulia Zarovski', 5], ['clarisa jairam', 4], ['Dani Brown', 4], ['Douglas Larsen', 5], ['Bailey McNamee', 5], ['Jacen L.', 2], ['Hey Ari ✨', 5], ['Emma Bree', 5], ['Megan', 4], ['suzanne', 5], ['Tashia Annett W.', 3], ['Harper', 4], ['Amy Mendoza', 5], ['Abbie', 4], ['Edia', 5], ['Branch', 5], ['Julie & Rod', 5], ['Nikki', 5]]","[['6', 'ounces', 'salmon fillets'], ['1', 'pinch', 'salt'], ['1/2', 'cup', 'Thai sweet chili sauce'], ['3', 'tablespoons', 'green onions'], [None, None, 'cooking spray']]",https://www.yummly.com/recipe/Thai-Salmon-2408300
2,Coconut Curry Carrot and Sweet Potato Soup,4.0,35,250.0,600.0,18.0,3.0,22.0,6.0,"[['Susan W.', 4], ['Julli', 5], ['Pamela K.', 5], ['Al Brock', 5], ['colquiyt', 5], ['AllstarHomeCook', 5]]","[['1', 'tablespoon', 'coconut oil'], ['1', None, 'yellow onion'], ['1', 'pinch', 'salt'], ['8', None, 'carrots'], ['1', None, 'sweet potatoes'], ['3', 'cups', 'vegetable stock'], ['2', 'tablespoons', 'green curry paste'], ['2', 'teaspoons', 'curry powder'], [None, None, 'salt and ground black pepper'], ['1', None, 'lime'], ['14', 'ounces', 'coconut milk'], [None, None, 'roasted cashews'], [None, None, 'cilantro']]",https://www.yummly.com/recipe/Coconut-Curry-Carrot-and-Sweet-Potato-Soup-2237725
3,Korean Vegetarian Beef,4.5,20,840.0,920.0,9.0,15.0,171.0,3.0,"[['Taylor Kuhn', 5], ['Julie K.', 5], ['Yuliya Astapova', 5], ['Stocking', 5], ['Fréchette', 5], ['roman mylene', 4], ['Leah Tropea', 5], ['Micah', 5], ['Candice Poucher', 5], ['Shannon Kay', 4], ['Amy Byron', 5], ['audrey colman', 5], ['D', 5], ['Errin E.', 5], ['Dawn', 5], ['Kelli Owens', 4], ['Hannah', 5], ['Asmar', 3]]","[['1', 'package', 'veggie ground round'], ['1/2', 'cup', 'brown sugar'], ['1/4', 'cup', 'light soy sauce'], ['1', 'tablespoon', 'olive oil'], ['1', 'tablespoon', 'sesame oil'], ['1', None, 'onion'], ['3', 'cloves', 'garlic'], ['2', 'tablespoons', 'fresh ginger'], ['1/2', 'teaspoon', 'red chili flakes'], ['1/4', 'teaspoon', 'ground black pepper'], ['1', 'teaspoon', 'sesame seeds'], ['4', 'cups', 'basmati rice'], ['1/4', 'cup', 'green onions']]",https://www.yummly.com/recipe/Korean-Vegetarian-Beef-2681632
4,"Braised Chickpeas with Tomato, Spinach, and Feta",4.5,20,440.0,1830.0,23.0,15.0,48.0,10.0,"[['Balandran', 5], ['Wendy Hayne', 3], ['Thessaly', 4], ['Ari', 5], ['Camila Santos', 5], ['Kathy E.', 4], ['Neil Rolfes', 4], ['Emily Kemker', 5], ['Lisa', 4], ['Jennie', 5], ['Meet Merchant', 5], ['vicky l.', 5], ['Brianna Houser', 5], ['Vex Dj', 4], ['Sorrel', 4], ['Julia Boudreau', 4], ['Rebecca', 5], ['Paul Kelly', 5], ['Manu', 4], ['Kathleen Moore', 4], ['Eollyn', 5], ['Sneha R', 4], ['Magsombol', 5], ['Lumiri', 4], ['autumn', 4], ['Dave', 4], ['Andy', 4], ['Magne', 4], ['Krista', 5], ['Sarah W.', 5]]","[['3', 'tablespoons', 'extra virgin olive oil'], ['5', 'cloves', 'garlic'], ['1/2', 'teaspoon', 'red pepper flakes'], ['5', 'ounces', 'baby spinach'], ['24', 'ounces', 'marinara sauce'], ['1', 'can', 'tomatoes'], ['1', 'can', 'chickpeas'], ['1', 'teaspoon', 'kosher salt'], ['1', None, 'lemon'], ['8', 'ounces', 'feta cheese']]",https://www.yummly.com/recipe/Braised-Chickpeas-with-Tomato_-Spinach_-and-Feta-2712016
5,Tuscan Kale With Garlic Tomatoes,4.5,40,130.0,10.0,11.0,1.0,7.0,1.0,"[['Becky Andrade', 4], ['Fina Fonts', 3], ['vera m.', 4], ['Nancy Arciniegas', 5], ['Nate', 4], ['leecee211 l.', 4], ['Aishah J.', 5], ['Hi, Georgette', 5], ['Truong', 4], ['Matt', 5], ['hungry', 3], ['Patrick J.', 5]]","[['1', None, 'Tuscan kale'], ['4', 'tablespoons', 'extra virgin olive oil'], ['5', 'cloves', 'garlic'], ['2', 'pints', 'grape tomatoes'], ['2', 'tablespoons', 'balsamic vinegar']]",https://www.yummly.com/recipe/Tuscan-Kale-With-Garlic-Tomatoes-2602134
6,5-Ingredient Cheese Naan Pizzas,4.5,17,80.0,150.0,3.0,4.0,9.0,0.0,"[['Lauren', 5], ['beverly lemus', 5], ['Robert Freeland', 4], ['Weston', 5], ['Jack', 5], ['Te ca', 5], ['Ryan C.', 5], ['Firman', 5], ['AJ', 5], ['EmJay Hart', 5], ['Sarah Centeno', 5], ['Shawn Adams', 4], ['Natasha Jordan', 5], ['Benny shoeshine', 5], ['Vlad Manolov', 4], ['Cj Hyneman', 5], ['Tisha W.', 5], ['Dana P.', 4], ['Anne Schmidt', 5], ['Allondra', 4], ['Danny', 5], ['Ruth Rangan', 5], ['Luke Hammond', 5], ['Tyra Nunn', 5], ['Sanya Taneja', 5], ['House of Wilmington', 5], ['CJ Lawrence', 5], ['Brenda C.', 5], ['lisa g.', 3], ['Cherial', 4]]","[['4', 'pieces', 'naan'], ['2', 'teaspoons', 'olive oil'], ['2/3', 'cup', 'pizza sauce'], ['1 1/2', 'cups', 'mozzarella cheese'], ['1/2', 'teaspoon', 'dried oregano']]",https://www.yummly.com/recipe/5-Ingredient-Cheese-Naan-Pizzas-9029450
7,Oven Baked Pork Chop,4.5,180,290.0,910.0,17.0,20.0,15.0,0.0,"[['Brandon H.', 3], ['Jami R.', 5], ['Eva Harms', 5], ['Susan M.', 5], ['Chubroc', 5], ['Robyn', 4], ['Scott W.', 5], ['Wiken', 5], ['H', 5], ['Terry Johnson', 2], ['Andrea C.', 3], ['Kenneth Aaron', 5], ['Sheldon Kargus', 5], ['Doug Stone', 4], ['Halee', 5], ['Kt', 4], ['Patron D.', 4], ['Gary N.', 5], ['Keishana Crenshaw', 3], ['Alti', 5], ['Gabriel Caesar', 5], ['Wilson', 4], ['Honey Mustard', 4], ['Deayndre Proctor', 5], ['Janson', 5], ['Ann Kim', 5], ['Megan B.', 4], ['behlmer', 4], ['Sincere Bultron', 5], ['Ross', 5]]","[[None, None, 'pork chops'], ['1', 'tablespoon', 'soy sauce'], ['2', 'tablespoons', 'vegetable oil'], ['1', 'tablespoon', 'worcestershire sauce'], ['1', 'teaspoon', 'lemon juice'], ['2', 'tablespoons', 'brown sugar'], ['2', 'tablespoons', 'ketchup']]",https://www.yummly.com/recipe/Oven-Baked-Pork-Chop-2512778
8,White Chocolate-Raspberry Blender Muffins,4.0,25,200.0,170.0,5.0,6.0,33.0,5.0,"[['Cindy S.', 4], ['Ashley I.', 5], ['Kevin W.', 4], ['Rossum', 2], ['Kieyla S.', 5]]","[['2', 'cups', 'old-fashioned oats'], ['2', None, 'eggs'], ['1', 'cup', 'plain greek yogurt'], ['1/2', 'teaspoon', 'vanilla extract'], ['1/2', 'teaspoon', 'baking powder'], ['1/2', 'teaspoon', 'baking soda'], ['2', None, 'bananas'], ['3', 'tablespoons', 'maple syrup'], ['1/2', 'cup', 'white chocolate chips'], ['1 1/2', 'cups', 'raspberries']]",https://www.yummly.com/recipe/White-Chocolate-Raspberry-Blender-Muffins-2157688
9,Perfect Air Fryer Salmon,4.5,40,310.0,460.0,20.0,24.0,10.0,5.0,"[['dale', 5], ['Eileen', 3], ['YumChef', 5], ['Mrs. Watson', 5], ['Veronica Choice', 5], ['Ronnie', 4], ['Birgitt H.', 3], ['Cynthia', 5], ['Heather Scheffler', 5], ['Calandra A.', 5], ['Sin T.', 4], ['Holly R', 3], ['Lynn R.', 4], ['Leighann I.', 5], ['Garcsa B.', 5]]","[['2', None, 'salmon fillets'], ['2', 'teaspoons', 'avocado oil'], ['2', 'teaspoons', 'paprika'], [None, None, 'salt'], [None, None, 'black pepper'], [None, None, 'lemon wedges']]",https://www.yummly.com/recipe/Perfect-Air-Fryer-Salmon-2359452
